activity_id,waterway_role,description,coord,brief,rc_coord,rc_is_bridge,af_coord,af_same_coordinates?,af_notes
7059694,Location,MM 530.6 LMR,"33.29501279, -91.15863161","On 16 SEP 2020 at approximately 1706LT, the ITV PAUL KLAUSEN allided with the Greenville Bridge when attempting to pass through southbound. The allision resulted in 3 broken wires and minor damage on barge GD-948. The cause of the incident was determined to be pilot error. Alcohol testing was conducted with negative results, however, the pilot refused a drug test.",", ",bridge,"33.28727860845002, -91.15393794578173",yes,Are these bridges not in the dataset? Or just a different point? 
6955219,Location,"Mile Marker 245.8 on the Ohio River, site of casualty.","38.99465492, -81.98164815","On February 13, 2020, the ITV CAPT. W.D. NUNLEY (O.N. 1225575), was travelling north on the Ohio River enroute to Bellaire, OH, pushing 15 general barges loaded with various cargoes.  As the tow entered a bend near mile marker 246, the Captain began steering to port but noticed the rudder indicator showed the rudder hard to starboard.  The Captain switched to the backup steering pump with no change.  Steering was switched to non-follow-up and the rudder responded properly.  However, due to high water conditions, oncoming current, and the steering loss the tow continued to drift and eventually the head of the tow struck the bank.  After the head of the tow struck the bank, nine of the 15 barges broke free and drifted down the river.

Following the casualty, the Captain examined the steering system and found that the follow-up steering shaft manual limit pin was missing.  This pin was replaced on-scene and all steering capabilities returned to the vessel.  The CAPT. W.D. NUNLEY then proceeded to gather the barges that had broken free without further incident.

After the barges broke free, the CAPT. W.D. NUNLEY began the process of retrieving its barges.  It was reported some of the barges drifted approximately 10 miles downriver until secured.   Several Good Samaritan vessels assisted in securing the barges.  It was reported that one barge struck the Pomeroy-Mason Bridge near mile marker 251.3.  Due to darkness, no one physically saw the barge make contact, but heard what sounded like something hitting the bridge.  Two property owners in Pomeroy, OH, area reported minor damage to their property from the drifting barges.

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the loss of steering due to the pin falling out of the follow-up steering shaft manual limit.  This caused the tow to subsequently strike the bank and nine of the 15 barges to break free.  The causal factors that contributed to this casualty are:

1. A cotter pin that was supposed to hold the missing pin in place apparently failed causing the pin to fall out.  However, the CAPT. W.D. NUNLEY had been on its current voyage for approximately four days without any known incidents.  The company immediately conducted verification checks on all vessels with similar steering systems to ensure the pins were properly in place and secure.  In addition, the company instituted policy changes for crews to conduct routine checks of the pin on all vessels with similar systems.

There were no injuries, pollution, or other damage.  The Coast Guard did not attend the towing vessel or barges and no restrictions were placed on the towing vessel's movements.","39.01304756908408, -82.04184925465563",bridge,"39.0131575413094, -82.0415824607246",yes,"""Due to darkness, no one physically saw the barge make contact, but heard what sounded like something hitting the bridge. "" wild"
6762829,Location,BERWICK_MORGAN_CITY RAILROAD_BRIDGE,"29.89908889, -91.44995","On 21 April 2019 at approximately 2250, the towing vessel VANPORT allided with the Berwick rail bridge while transitting northbound pushing ahead five barges, two empty and three loaded.  The resulting damage was estimated at $7500 with a gash approximately two feet long and one foot wide along the starboard stern corner of the barge at deck level.  There was a total of six individuals on board at the time of the incident with no injuries reported.","29.692530457638373, -91.21257477141513",bridge,"29.692463359803867, -91.21272535634156",yes,
7131713,Location,Bayou Boeuf Railroad Bridge,"29.69706609, -91.10330521","On January 15, 2021, at approximately 1030 hours, the ITV MISS SYDNEY was pushing the deck barge OU 785 under the Bayou Bouef Railroad Bridge channel and struck the bridge fendering. The bridge fender system sustained damage, but the bridge structure was not impacted. While transiting through the waterway, there was only 01 foot of clearance on the vessel's port and staboard side each. The vessel's master stated that the high winds (20+ knts) pushed the barge towards the fendering system until the barge struck the bridge's wooden fendering. The OU 785 is a very large barge with a large high sail area.  There was no damage to the barge or ITV, and no report of injuries or pollution.

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the barge alliding with the fendering system. The casual factors that contributed to this casualty include:
(1) High winds pushing the high sail area of the barge.
(2) Minimal clearance between the barge and the fendering system during vessel's passage through.","29.66856487241369, -91.09935416338851",bridge,"29.668585,	-91.099354",yes,
7642514,Location,Reference location for involved Waterway.,"38.34013743, -75.89289514","On February 26, 2023 at approximately 0548 the towing vessel JACK HOLLAND (O.N. 669003), pushing the ATLAS THREE (O.N. 1269738),an empty deck barge, allided with the Nanticoke River Route 50 bridge fendering system near Vienna, Maryland.  The JACK HOLLAND was under command of the mate pilot on a transit to Seaford, Delaware to load sand and gravel. The Master of the tug was on the bridge observing the Mate. On approach to the bridge, the vessel was set to the starboard side of the channel and made contact with the bridge's wooden fendering system.  Initial observation by the crew reported no noticeable damage to the bridge fendering system which was later confirmed by Coast Guard Waterways division.  After mooring in Seaford, Delaware the crew inspected the barge for damage with negative results other than minor paint scrapes.

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the allision with the bridge fendering system. The causal factors that contributed to this casualty include: (1) Inexperience of the Mate Pilot, (2)Lack of daylight hindering visibility, and (3)Strong flood tide impacting vessel's track. Recommend no further remedial or enforcement action for apparent violations of current law or regulation, inadequacies with the performance of Coast Guard personnel or representative or employee of any other government agency or any other person, or inadequacies with existing laws or regulations.","38.4884748283017, -75.81272720926334",bridge,"38.488877510421986, -75.81363423375606",yes,
7483399,Location,"Humble Canal, Fresh Water Bayou, Intracoastal City, LA","29.75299448, -92.2148992","On July 16, 2019, at approximately 1100, the Inspected Towing Vessel VENESSA RAE (648861) was transiting west bound on the Humble Canal through the Humble Canal swing bridge pushing two deck barges. As the barges were passing through the bridge, the south winds increased from 10 mph to 15 mph and set the lead barge, BB51, onto the north fender system.

The lead barges port bow struck the bridge fender system causing damage to an attached ladder. No barges were damaged. This casualty did not result in injuries or pollution. The total damage was estimated to be $1,000.

Through its investigation, the Coast Guard determined that causal factors contributing to this casualty were: 1) The master of the VANESSA RAE not navigating through the bridge span in a manner preventing allision; 2) increased windspeed unanticipated from the master.","29.600115453743975, -92.34149813959631",bridge,"29.600137270622863, -92.341515572441",yes,
7496626,Location,Two Mile Bridge,"38.95626667, -38.95626667","At approximately 0400 on July 4, 2022, the tug NORTHSTAR 10 allided with the Cape May Two Mile Bridge.

Captain had 2 deckhands (lookouts) positioned at the bow of the barge while transitting toward Two Mile bridge. On approach to the Cape May 2-Mile Bridge, captain noticed the barge, being set by the current, was starting to head towards the bridge. The Captain tried to hail the deckhand onboard the barge,but with no success, it was apparent the deckhand's radio was not working. The Captain immediately took vessel out of gear, and began to clutch astern on both engines in an effort to avoid contact with the fendering system. Regardless of the Captains actions, the barge was still set towards the fender inside the center span of the 2-mile Bridge. Barge made contact with wooden handrail, which cracked and fell over to opposite side of the fendering system. There was no reported damage to barge of towing vessel.","38.956243, -74.8741",bridge,"38.95600752995593, -74.87388758052055",yes,
7046718,Location,Dauphin Island Parkway Bridge,"30.2895, -88.129","On August 30, 2020 at approximately 1348LT, the ITV ERIC SWENDSEN (O.N. 1292802) was transitting westbound on the ICW approaching the Dauphin Island Parkway Bridge with 2 empty red flag barges, past cargo gasoline. As the tow passed under the bridge, a 30-40 knot squall came through and pushed the tow into the fending system of the bridge piling. The fendering system was previously damaged and the HTC03102 barge received a 5x1 inch crack on the the starboard shoulder, the repair cost was under the threshold for reportable marine casualty. The voids were inspected and dry.

The barge was taken to New Orleans for repair.",", ",bridge,"30.29310505744752, -88.12973528570117",yes,
7548775,Location,Approx. location TOMBIGBEE MM 174,"32.246, -88.012067","On August 30, 2022 at approximately 1120 the
  SCC received a report from the Towing Vessel American Spirit that they
  allided with the Naheola Bridge located at MM173 on the Tombigbee River.
  Vessel was pushing 04 red flag barges when the port aft barge allided with
  bridge. No significant damaging to the bridge and a 10 foot scrape reported
  to port aft barge to include a pinhole leak. No pollution.  Vessel is currently 1 mile north of bridge
  reconfiguring barges and awaiting further direction form CG inspector on
  plans moving forward. As a result of its investigation, the Coast Guard has
  determined that this reaches the level of a reportable marine casualty. IO
  and Marine Inspector went on board to see the damages. Damages were minor and
  did not exceed the 75k threshold. Investigation level will remain as a data
  collection.","32.237707529918474, -88.0153879532316",bridge,"32.237580257878534, -88.01538912686492",yes,"I don't think this one hit the railroad bridge, but they're actually right next to each other in this case"
7669022,Location,Approx location.,"32.84083333, -87.826","On April 11, 2023, at approximately 1010L, the towing vessel HELOISE (O/N:549343) was pushing ahead 08 hopper barges when it allided with the AGS RR Bridge near MM 267 on the Black Warrior River.  The vessel and accompanying tow were transiting southbound at the time of the incident.  After unintentionally making contact with the East bridge pillar, the barge and bridge were inspected with no damage noted.  Vessel and accompanying tow reconvened to their desired destination with no further incidents noted.  No other damages or injuries were reported.

As a result of its investigation, the Coast Guard has determined that the initiating event for this casualty was the allision of the HELOISE tow with the AGS RR Bridge. The causal factors that contributed to this casualty include: (1) the present operating conditions of a narrow channel, large tow, and current conditions.","32.84597119424863, -87.83219054133241",bridge,"32.846, -87.832078",yes,
6728677,Location,"Bayou Dularge Bridge, MM 20.2, ICW","29.68333525, -90.19020653","On 21 June 2019 at approximately 0830, the ITV MISS LAURIE was underway pushing (6) empty hopper barges in the Intercoastal Waterway, MM 20, through the Bayou Dularge Bridge when a gust of wind caught the tow and pushed an empty barge into the fender wall near the bridge. Vessel was coming from Houma, LA enroute to MM 112, Lower Mississippi River. The allision resulted in no damage to the towing vessel and a paint scratch to the barge HBM 3063. Bridge tender reported no damage to the fender wall and the bridge was fully operational.

As a result of its investigation, the Coast Guard determined that the incident meets the criteria of a reportable marine casualty as defined in 46 CFR 4.05-1 and the level of investigative effort was a data collection as the vessel unintentionally allided with the Bayou Dularge Bridge.",", ",bridge,"29.568664702420442, -90.72089833832261",other,We've talked about this before 
